0,4pics1songanswers.com,24
1,9gag.com,228
2,a.funnystuff247.org,22
3,a.indkast.dk,426
4,a.komoona.com,914
5,aarhus.lokalavisen.dk,15
6,abcnews.go.com,22
7,acer.dk.msn.com,886
8,acer13.dk.msn.com,92
9,ad-apac.doubleclick.net,32
10,ad-emea.doubleclick.net,4394
11,ad-g.doubleclick.net,26
12,ad.360yield.com,59
13,ad.ads3trust.info,17
14,ad.afy11.net,95
15,ad.dc2.adtech.de,10
16,ad.de.doubleclick.net,40
17,ad.dk.doubleclick.net,348
18,ad.doubleclick.net,28024
19,ad.es.doubleclick.net,439
20,ad.mangapanda.com,51
21,ad.mangareader.net,971
22,ad.se.doubleclick.net,26
23,ad.uk.doubleclick.net,97
24,ad.wingads.com,142
25,ad.xtendmedia.com,68
26,ad.yieldmanager.com,7937
27,ad1.emediate.dk,6703
28,adan1.xtendmedia.com,28
29,adcast.deviantart.com,2038
30,adclient.uimserv.net,19
31,admention.adspirit.de,23
32,admin.gratisspil.dk,26
33,ads-by.madadsmedia.com,39
34,ads.adcloud.net,10
35,ads.adiply.com,31
36,ads.as4x.tmcs.ticketmaster.com,11
37,ads.creative-serving.com,14941
38,ads.lanistaads.com,5271
39,ads.okcimg.com,112
40,ads.proboards.com,63
41,ads.pubmatic.com,122
42,ads.struq.com,15
43,adserver.adtech.de,2743
44,adserver.adtechus.com,306
45,adsfront.iminent.com,12
46,afe2.specificclick.net,217027
47,aka-cdn-ns.adtech.de,11499
48,alatest.co.uk,60
49,alatest.dk,194
50,albertslund.lokalavisen.dk,38
51,aller.adservinginternational.com,46
52,alleroed.lokalavisen.dk,151
53,allrecipes.com,29
54,allrecovering.com,50
55,allsp.ch,87
56,alt.mail.aol.com,81
57,altomboern.dk,789
58,amalieancher.dk,51
59,amaliewessel.dk,185
60,amandasisse.dk,18
61,amarorama.dk,94
62,ams1.ib.adnxs.com,268903
63,ams1.mobile.adnxs.com,201
64,amtsavisen.dk,198
65,androidforums.com,29
66,andtheblack.dk,163
67,anet.tradedoubler.com,27501
68,anetdk.tradedoubler.com,4117
69,anetno.tradedoubler.com,28
70,anetse.tradedoubler.com,21
71,annawurtz.com,141
72,annesophia.blogs.berlingske.dk,99
73,ap.lijit.com,10
74,apartmentholstebro.bloggersdelight.dk,32
75,apr.lijit.com,1213
76,arcadesushi.com,16
77,armorgames.com,40
78,articledigg.com,74
79,as.webmd.com,227
80,ask.fm,55
81,astarasmussen.dk,16
82,asus.dk.msn.com,865
83,asus13.dk.msn.com,33
84,at.atwola.com,448
85,auktion.idenyt.net,16
86,auktioner.qxl.dk,29
87,auroramohn.blogg.no,19
88,autofoto.origo.no,50
89,avengersalliance.wikia.com,14
90,awoiaf.westeros.org,17
91,ax-d.pixfuture.net,45
92,b.bilen.dk,182
93,b.jads.dk,13076
94,b.photobucket.com,15
95,baboon.eniro.dk,168
96,baby-bite.dk,28
97,bankinfo.dk,10
98,banner.artodata.com,10
99,banner1.danske-it-eksperter.dk,132
100,banner2.landbrugsavisen.dk,64
101,bannerfactory.bilzonen.dk,13204
102,barnsemester.se,12
103,bastabum.dk,23
104,bedreform.nu,125
105,beep.tv2.dk,2747
106,bentwinther.blogs.berlingske.dk,10
107,beta.aftenposten.no,11
108,beta.dmi.dk,277
109,beta.jubii.dk,109
110,biertijd.com,15
111,bigbangtheory.wikia.com,10
112,bil-sitet.dk,551
113,biler.dba.dk,543
114,billede-og-lyd.dba.dk,44
115,bilmarked.politiken.dk,16
116,bilweb.se,45
117,bittebitte.dk,126
118,blamecopenhagendenmark.bloggersdelight.dk,12
119,blameitonfashion.freshnet.com,24
120,bleacherreport.com,55
121,blog.al.com,10
122,blog.saseline.com,68
123,blogbysandra.dk,464
124,blogg.dn.se,16
125,blogg.mama.nu,10
126,blogg.no,18
127,bloggar.aftonbladet.se,328
128,blogliebling.dk,32
129,blogs.bt.dk,1198
130,blogs.jp.dk,144
131,blogs.min-mave.dk,38
132,bmw5er.dk,20
133,boardgamegeek.com,12
134,bodybooster.dk,10
135,boeger-og-blade.dba.dk,10
136,boingboing.net,30
137,bolig.lokalavisen.dk,11
138,boligmarked.jp.dk,12
139,boligmarked.politiken.dk,77
140,bolignyheder.boligsiden.dk,82
141,boohyouwhore.com,12
142,bornibyen.dk,629
143,bors.e24.no,18
144,borsen.dk,14340
145,bovision.se,31
146,boxrec.com,12
147,boyfriend.dk,66
148,brashna.dk,12
149,brondby.com,558
150,bsa.adsrv.us,464
151,bt.bilen.dk,177
152,bt.brise.dk,21
153,bt.holdet.dk,1404
154,bt.jepti.dk,21
155,bulbapedia.bulbagarden.net,10
156,bureaubiz.adservinginternational.com,62
157,bytbil.com,12
158,c9.w3hoster.de,14
159,callofduty.wikia.com,36
160,camping.dba.dk,39
161,campingferie.dk,11
162,caravans.autotrader.co.uk,10
163,carolineevigglad.com,36
164,cars.oodle.com,12
165,casalicious.dk,18
166,catalog.fborfw.com,11
167,cathinthecity.com,24
168,cdn.buzznet.com,96
169,cdn.endirect.me,11
170,cdn.flvto.com,40
171,cdn.tdfimg.com,10
172,cdn.trendhunterstatic.com,13
173,cdn6.emediate.eu,29
174,charlie.tv2.dk,23
175,cheezburger.com,38
176,cityrama2-865.ah.bpcdn.net,36
177,classiccars.com,18
178,clubmetroxpress.dk,56
179,columbine.freshnet.com,13
180,community.babycenter.com,20
181,compaq.dk.msn.com,585
182,compat.tyda.se,11
183,connery.dk,131
184,connexity.net,2482
185,content.announcements.uk.com,32
186,coolrom.com,24
187,costume.dk,1141
188,cpuboss.com,14
189,crm.digitalchocolate.com,147
190,crtl.aimatch.com,284
191,csi.wikia.com,91
192,cutecarbs.com,471
193,cykelmagasinet.dk,21
194,cykler.dba.dk,110
195,d.gssp-a.com,28
196,d5p.de17a.com,120654
197,da.bab.la,236
198,da.coinmill.com,11
199,da.netlog.com,46
200,da.vaabenbroedre.wikia.com,53
201,dagbladet-holstebro-struer.dk,992
202,dagbladetringskjern.dk,618
203,dailystylediary.com,59
204,danielishoj.dk,72
205,danskespil.holdet.dk,2331
206,danskfodbold.com,34
207,data.lizads.com,15
208,data.tbc.tetrisfb.com,576
209,dating.dk.msn.com,77
210,de.hosting.adjug.com,10
211,deliver.aadsrv.com,21
212,dell.dk.msn.com,136
213,denkorteavis.dk,332
214,deser.pl,12
215,detskalsmageafnoget.dk,94
216,dev.bukkit.org,12
217,digimon.wikia.com,46
218,digital-photography-school.com,16
219,digitalfoto.dk,284
220,digitalt.tv,74
221,dilbert.com,13
222,dinavis.lokalavisen.dk,14
223,dindebat.dk,1577
224,dinmat.no,13
225,dinsalgsvagt.adservinginternational.com,7818
226,disney.wikia.com,33
227,dittesblog.dk,26
228,diverse.dba.dk,99
229,dk-kogebogen.dk,1104
230,dk.gmads.net,10660
231,dk.jobrapido.com,176
232,dk.linkedin.com,29
233,dk.msn.com,18467
234,dk.worldsbiggestchat.com,1822
235,dkira.com,244
236,dlisted.com,50
237,doma.nova.cz,16
238,doodle.com,93
239,dostorasly.com,11
240,download.cnet.com,135
241,download.dk.msn.com,17
242,dreammoods.com,12
243,dungeonbusters.com,33
244,dyr.dba.dk,288
245,e2.emediate.se,27219
246,e24.no,738
247,eas.information.dk,977
248,eas4.emediate.eu,12953
249,eas8.emediate.eu,123800
250,edge.youtube-mp3.org,19
251,ekstrabladet.dk,583688
252,elderscrolls.wikia.com,19
253,elitedaily.com,11
254,emachines.dk.msn.com,235
255,embedr.com,19
256,emea-bidder.mathtag.com,385
257,emiliblog.dk,144
258,emilysalomon.dk,219
259,emmamartiny.dk,33
260,emmasilke.dk,79
261,emmoemmo.com,43
262,entertainment.dk.msn.com,17143
263,epicdpic.com,70
264,epn.dk,4586
265,erhverv.dba.dk,15
266,esbjerg.lokalavisen.dk,86
267,espresso.repubblica.it,14
268,etfashionfund.com,30
269,evak.dk,28
270,exch-e.atdmt.com,267
271,exch-eu.atdmt.com,93628
272,exch-w.atdmt.com,1868
273,expectationvsreality.net,27
274,facebook.com,31070
275,facebook2.poker.zynga.com,21
276,failblog.cheezburger.com,371
277,fallout.wikia.com,72
278,farmerama.tv2.dk,123
279,fashionbyfrium.com,33
280,fashionmanifest.dk,56
281,favrskov.lokalavisen.dk,13
282,fcbarcelona.dk,44
283,feber.se,49
284,feltet.dk,3053
285,ferie.dba.dk,10
286,ferieliv.dk,2171
287,fielaursen.dk,975
288,fierceogfattig.dk,190
289,filehippo.com,16
290,filmehd.net,18
291,finans.borsen.dk,207
292,finans.tv2.dk,4981
293,firma.eniro.dk,80
294,fitnesser.bloggersdelight.dk,68
295,fitnrun.bloggersdelight.dk,70
296,flatpanels.dk,222
297,flightrising.com,140
298,floatertalk.yuku.com,89
299,fm.boyfriend.dk,16
300,fodbold.aabsport.dk,227
301,folkebladetlemvig.dk,70
302,football-italia.net,26
303,footy.dk,201
304,forum.lro.com,12
305,forum.oestrogen.dk,35
306,forum.xda-developers.com,297
307,forums.androidcentral.com,15
308,forums.digitalspy.co.uk,10
309,fotballfrue.no,64
310,foto.samvirke.dk,28
311,fotoquiz.dk.msn.com,62
312,fredensborg.lokalavisen.dk,127
313,fredericia.lokalavisen.dk,20
314,frederikssund.lokalavisen.dk,96
315,freerice.com,131
316,fri.tv2.dk,689
317,frk.gamib.net,251
318,frkvilstrup.dk,109
319,fudjan.com,13
320,fuglemarkedet.dk,136
321,fujitsu13.dk.msn.com,13
322,funlolx.com,266
323,funnie.st,165
324,funnymama.com,48
325,furesoe.lokalavisen.dk,34
326,fusion.nettavisen.no,21
327,fynskemedieradmin.adservinginternational.com,82034
328,gaffa.dk,1955
329,gags247.com,29
330,galleri.tv2.dk,274
331,gamersunite.coolchaser.com,14
332,gamingbolt.com,11
333,ganeoggaffel.dk,175
334,gastromand.dk,42
335,gentofte.lokalavisen.dk,63
336,ginajaqueline.com,20
337,glee.wikia.com,25
338,go.tv2.dk,10386
339,goerdetselv.dk,425
340,gofugyourself.com,55
341,google.tv2.dk,239
342,googleads.g.doubleclick.net,261009
343,gratispil.dk,38
344,gratisspil.dk,5541
345,guide.lokalavisen.dk,27
